tick, CC, CD, DC, DD
318,245,389,148,233
319,246,378,150,240
320,242,385,150,239
321,250,390,147,234
322,241,404,149,235
323,229,395,150,232
324,214,405,155,237
325,232,417,157,241
326,221,415,151,237
327,228,412,145,253
328,237,412,147,248
329,236,407,147,246
330,229,414,141,240
331,235,418,137,250
332,230,414,135,246
333,230,414,139,255
334,223,398,134,265
335,224,412,132,267
336,212,409,137,271
337,208,412,146,280
338,213,406,140,273
339,213,400,133,262
340,224,393,135,267
341,226,388,132,265
342,233,369,131,273
343,249,373,127,266
344,247,382,124,253
345,254,378,128,253
346,262,393,132,261
347,262,377,134,259
348,265,373,134,269
349,261,374,133,259
350,265,383,136,255
351,276,387,139,260
352,268,385,140,263
353,277,371,136,261
354,286,351,133,266
355,297,351,129,255
356,288,355,132,263
357,292,356,129,258
358,296,359,129,257
359,303,377,138,255
360,309,367,141,251
361,306,363,138,251
362,298,372,142,242
363,309,388,138,244
364,324,378,129,260
365,325,382,132,267
366,306,378,133,268
367,314,363,132,277
368,309,349,126,272
369,313,349,121,266
370,324,342,128,278
371,334,344,124,286
372,314,349,126,282
373,315,330,126,289
374,323,338,128,296
375,308,338,129,293
376,298,347,132,289
377,296,343,133,297
378,297,342,136,303
379,290,344,141,296
380,296,342,138,284
381,282,338,152,292
382,274,343,145,275
383,280,334,142,276
384,280,336,145,305
385,278,338,150,300
386,272,345,147,296
387,277,348,147,302
388,281,343,146,290
389,288,357,148,304
390,289,362,148,314
391,288,367,147,313
392,281,375,141,313
393,279,384,144,316
394,285,373,142,309
395,302,370,149,309
396,286,373,152,313
397,295,382,157,310
398,288,379,152,313
399,280,384,154,306
400,274,378,156,306
401,268,377,154,301
402,273,383,158,303
403,275,378,158,302
404,275,377,166,309
405,271,382,161,322
406,277,379,160,317
407,286,375,163,317
408,293,387,159,316
409,293,385,150,311
410,283,393,152,322
411,285,380,154,328
412,289,365,142,332
413,299,371,148,332
414,306,372,145,317
415,294,378,144,315
416,298,377,149,317
417,295,372,154,328
418,292,369,160,320
419,300,359,143,327
420,292,355,152,327
421,289,352,141,342
422,290,363,141,344
423,285,381,136,334
424,290,369,126,334
425,286,380,135,330
426,275,391,132,333
427,272,384,139,323
428,284,394,134,316
429,292,398,136,314
430,284,402,143,317
431,299,406,141,318
432,302,395,136,320
433,302,386,139,313
434,301,392,144,311
435,307,404,155,310
436,312,415,156,304
437,306,412,168,294
438,297,410,172,273
439,306,405,176,258
440,304,411,174,255
441,294,408,163,261
442,284,404,166,256
443,287,414,167,252
444,289,406,163,254
445,292,405,155,250
446,298,392,157,250
447,296,395,154,248
448,307,394,141,251
449,292,407,137,258
450,304,397,135,273
451,310,403,146,280
452,309,396,157,285
453,308,391,153,275
454,303,396,161,275
455,320,402,159,274
456,322,406,163,271
457,324,404,166,281
458,313,387,163,283
459,305,397,159,285
460,297,385,157,282
461,296,384,165,283
462,287,386,169,278
463,280,395,165,284
464,285,390,166,276
465,288,404,160,278
466,295,392,166,278
467,294,388,164,263
468,299,408,161,266
469,293,410,153,265
470,297,409,163,262
471,291,417,155,252
472,294,407,153,257
473,293,405,157,251
474,303,408,161,245
475,308,412,160,246
476,318,407,156,249
477,313,412,169,247
478,320,403,166,243
479,317,424,180,240
480,324,426,174,230
481,306,412,175,240
482,301,418,174,225
483,297,424,187,235
484,299,416,192,246
485,304,416,193,240
486,298,418,190,243
487,298,425,194,235
488,304,435,191,248
489,306,447,193,244
490,302,457,197,258
491,305,451,194,256
492,304,461,203,248
493,305,449,208,252
494,294,454,213,246
495,287,457,207,254
496,279,455,216,265
497,276,450,216,260
498,275,445,215,261
499,278,442,222,265
500,278,447,209,263
501,284,446,213,268
502,279,445,217,271
503,270,443,223,270
504,273,447,226,278
505,272,449,215,291
506,273,433,213,283
507,268,428,218,263
508,264,418,211,262
509,263,414,214,263
510,257,413,202,259
511,260,403,201,237
512,265,405,195,236
513,267,396,197,236
514,274,400,196,227
515,277,406,205,243
516,265,417,195,251
517,266,428,199,264
518,270,423,209,275
519,278,417,197,272
520,259,402,197,273
521,271,399,202,276
522,273,396,210,284
523,271,403,209,290
